year,week,date,ili_percentage,type,confidence_low,confidence_high
2026,1,2026-01-05,3.76,Forecast,2.26,5.26
2026,2,2026-01-12,3.82,Forecast,2.32,5.32
2026,3,2026-01-19,3.77,Forecast,2.27,5.27
2026,4,2026-01-26,3.78,Forecast,2.28,5.28
2026,5,2026-02-02,3.78,Forecast,2.28,5.28
2026,6,2026-02-09,3.78,Forecast,2.28,5.28
2026,7,2026-02-16,3.78,Forecast,2.28,5.28
2026,8,2026-02-23,3.78,Forecast,2.28,5.28
2026,9,2026-03-02,3.78,Forecast,2.28,5.28
2026,10,2026-03-09,3.78,Forecast,2.28,5.28
2026,11,2026-03-16,3.78,Forecast,2.28,5.28
2026,12,2026-03-23,3.78,Forecast,2.28,5.28
